DATE	        SP500   EBAY
3/31/2005	1180.59 37.26
3/30/2005	1181.41	37.69
3/29/2005	1165.36	36.1
3/28/2005	1174.28	35.91
3/24/2005	1171.42	35.5
3/23/2005	1172.53	35.92
3/22/2005	1171.71	35.88
3/21/2005	1183.78	36.13
3/18/2005	1189.65	35.01
3/17/2005	1190.21	36.12
3/16/2005	1188.07	36.48
3/15/2005	1197.75	37.07
3/14/2005	1206.83	36.48
3/11/2005	1200.08	38.25
3/10/2005	1209.25	38.86
3/9/2005	1207.01	39.9
3/8/2005	1219.43	40.85
3/7/2005	1225.31	41.89
3/4/2005	1222.12	41.75
3/3/2005	1210.47	41.49
3/2/2005	1210.08	42.07
3/1/2005	1210.41	42.58
2/28/2005	1203.6	42.84
2/25/2005	1211.37	42.24
2/24/2005	1200.2	42.37
2/23/2005	1190.8	41.84
2/22/2005	1184.16	41.1
2/18/2005	1201.59	42.46
2/17/2005	1200.75	42.72
2/16/2005	1210.34	43.045
2/15/2005	1210.12	42.7
2/14/2005	1206.14	42.16
2/11/2005	1205.3	41.035
2/10/2005	1197.01	40.61
2/9/2005	1191.99	39.495
2/8/2005	1202.3	39.265
2/7/2005	1201.72	37.795
2/4/2005	1203.03	37.94
2/3/2005	1189.89	38.61
2/2/2005	1193.19	39.4
2/1/2005	1189.41	38.965
1/31/2005	1181.27	40.75
1/28/2005	1171.36	40.55
1/27/2005	1174.55	41.35
1/26/2005	1174.07	41.16
1/25/2005	1168.41	40.02
1/24/2005	1163.75	41.185
1/21/2005	1167.87	43.025
1/20/2005	1175.41	41.665
1/19/2005	1184.63	51.525
1/18/2005	1195.98	53.185
1/14/2005	1184.52	52.6
1/13/2005	1177.45	51.605
1/12/2005	1187.7	53.625
1/11/2005	1182.99	52.42
1/10/2005	1190.25	53.655
1/7/2005	1186.19	53.29
1/6/2005	1187.89	53.09
1/5/2005	1183.74	55.45
1/4/2005	1188.05	55.655
1/3/2005	1202.08	57.055
